benchmark,compress_precision,P50,P90,P95,P99,Max,log10_mean,log10_std
STATS,1.1,1.2376109162213789,27.612829281681886,127.35443361207514,10567.512110908488,440503851.9933525,0.365581627483593,0.9485220655316137
STATS,1.2,1.2459092070083022,27.743589743589745,127.6318985535386,10567.512110908488,440503851.9933525,0.36643827184453986,0.9483896543803754
STATS,1.5,1.2553631044855056,27.854720041244644,127.6318985535386,10567.512110908488,440503851.9933525,0.3691273789163829,0.9479558745381442
STATS,2.0,1.2571634717232663,28.2875175315568,130.784186993986,10567.512110908488,440503851.9933525,0.37363055865400624,0.9476038252210907
JOBM,1.1,1.095261676975385,25.36656671664167,67.89311594202898,380.9355594758908,29219.5,0.06623750339725344,1.0683404268788126
JOBM,1.2,1.0993509072239522,25.3808095952024,67.89311594202898,380.93693947589077,29430.0,0.06773271182293124,1.0682543737281542
JOBM,1.5,1.1088118248064358,25.662083285708842,67.89311594202898,380.9378594758908,32467.5,0.07129562816209171,1.0683980774440385
JOBM,2.0,1.1234353599438167,26.47599019340419,70.2981158738195,392.4664802790702,31145.5,0.07684627832260503,1.0694122896463039
JOBLight,1.1,0.7400919138486295,4.097305389221557,6.62884120017181,13.412539744738044,40.74761241543971,-0.031675474032270015,0.4518289601013055
JOBLight,1.2,0.7400919138486295,4.097305389221557,6.62884120017181,13.412539744738044,40.74761241543971,-0.031675474032270015,0.4518289601013055
JOBLight,1.5,0.7400919138486295,4.097305389221557,6.62884120017181,13.412539744738044,40.74761241543971,-0.031675474032270015,0.4518289601013055
JOBLight,2.0,0.7400919138486295,4.097305389221557,6.62884120017181,13.412539744738044,40.74761241543971,-0.031675474032270015,0.4518289601013055
JOBLightRanges,1.1,0.8937772118438946,127.0,1421.959809991451,12235.572163101622,268991.0,0.3007902007072441,1.2309666657175145
JOBLightRanges,1.2,0.8937772118438946,127.0,1421.959809991451,12235.572163101622,268991.0,0.3007902007072441,1.2309666657175145
JOBLightRanges,1.5,0.8937772118438946,127.0,1421.959809991451,12235.572163101622,268991.0,0.3007902007072441,1.2309666657175145
JOBLightRanges,2.0,0.8937772118438946,127.0,1421.959809991451,12235.572163101622,268991.0,0.3007902007072441,1.2309666657175145
