Benchmark,BuildTime,StatisticsSize,EvaluationTime
STATS,0.7749850302934647,1220608,0.7439129143022001
JOBLight,3.239264637697488,663552,0.20989105897024274
JOBLightRanges,3.9659549607895315,712704,2.789992395788431
JOBM,5.7585229254327714,1171456,1.817031309939921
StatsJoin,0.8510823585093021,1220608,0.2626539901830256
