benchmark,variant,P50,P90,P95,P99,Max,log10_mean,log10_std
STATS,baseline,1.2553631044855056,27.854720041244644,127.6318985535386,10567.512110908488,440503851.9933525,0.3691273789163829,0.9479558745381442
STATS,star3,1.439916431384175,35.85493296176759,167.0783684919054,21134.150809858624,563627208.266978,0.4510909448215376,0.9867282220788384
STATS,star4,1.271549719388546,28.714920111706267,128.75749894687354,12308.859010433605,563627208.266978,0.37874616875574457,0.9563765156996413
STATS,star5,1.2553631044855056,27.854720041244644,127.6318985535386,10567.512110908488,440503851.9933525,0.3691273789163829,0.9479558745381442
JOBM,baseline,1.1088118248064358,25.662083285708842,67.89311594202898,380.9378594758908,32467.5,0.07129562816209171,1.0683980774440385
JOBM,star3,1.4729244310396614,191.60204081632654,635.8314176245211,4065.873328393948,32467.5,0.34103105292838815,1.3225062355385369
JOBM,star4,1.1871242245761153,80.16909778498109,496.8766445811642,6997.7593984962405,32467.5,0.21616312411101227,1.2700508999217477
JOBM,star5,1.1123371924746743,32.68511410683622,104.60508726390924,2026.9673330895878,32467.5,0.11108735601545851,1.140907197723557
JOBLight,baseline,0.7400919138486295,4.097305389221557,6.62884120017181,13.412539744738044,40.74761241543971,-0.031675474032270015,0.4518289601013055
JOBLight,star3,0.775058972660384,5.409106871122557,9.328023091749955,23.171416731320996,75.17932086483619,0.013051038905269456,0.5018286549984488
JOBLight,star4,0.7400919138486295,4.27845787821461,7.047695357344377,21.777712301022817,40.74761241543971,-0.023945655518778905,0.4669461677905704
JOBLight,star5,0.7400919138486295,4.097305389221557,6.62884120017181,13.412539744738044,40.74761241543971,-0.031675474032270015,0.4518289601013055
JOBLightRanges,baseline,0.8937772118438946,127.0,1421.959809991451,12235.572163101622,268991.0,0.3007902007072441,1.2309666657175145
JOBLightRanges,star3,0.9572932121724159,129.93164310092752,1497.2403061167652,12717.649825000019,268991.0,0.34117321378090204,1.2330784478952277
JOBLightRanges,star4,0.900777781066324,127.0,1432.4033860009445,12235.572163101622,268991.0,0.30657152359943285,1.2315417623805078
JOBLightRanges,star5,0.8937772118438946,127.0,1421.959809991451,12235.572163101622,268991.0,0.3007902007072441,1.2309666657175145
