threads,build_time_sec,statistics_size_bytes,database_size_bytes
1,274.39840483665466,1414344,2648715264
2,120.70083165168762,1414344,2648715264
4,61.000009536743164,1414344,2648715264
8,35.823333978652954,1414344,2648715264
16,22.581803798675537,1414344,2648715264
