scale_factor,threads,build_time_sec,statistics_size_bytes,database_size_bytes
1,8,0.35234904289245605,3403,264253440
2,8,0.5311758518218994,3451,528232448
4,8,0.8203916549682617,3451,1056190464
8,8,1.7814393043518066,3451,2138845184
16,8,3.057546377182007,3547,4326699008
32,8,6.249367952346802,3531,8737271808
64,8,11.847127676010132,3579,17553174528
128,8,26.577831268310547,3387,35172659200
